child_dgroup_id,parent_type,parent_id,parent_label,child_name
DG01838,dgroup,DG01642,CYP2C9 substrate,Pitavastatin
DG01840,dgroup,DG01633,CYP3A/CYP3A4 substrate,Isavuconazonium
DG01840,dgroup,DG02852,CYP3A/CYP3A4 inhibitor,Isavuconazonium
DG01840,dgroup,DG02891,CYP2B6 inducer,Isavuconazonium
DG01840,dgroup,DG01622,ABCB1 inhibitor,Isavuconazonium
DG01840,dgroup,DG02863,SLC22A2 inhibitor,Isavuconazonium
DG01840,dgroup,DG02864,SLC47A1 inhibitor,Isavuconazonium
DG01840,dgroup,DG03251,UGT inhibitor,Isavuconazonium
DG01845,dgroup,DG01642,CYP2C9 substrate,Rimegepant
DG01845,dgroup,DG01633,CYP3A/CYP3A4 substrate,Rimegepant
DG01845,dgroup,DG02913,CYP3A4 substrate,Rimegepant
DG01848,dgroup,DG01197,Tetracycline antibiotic,Sarecycline
DG01850,dgroup,DG01644,CYP2D6 substrate,Benzhydrocodone
DG01850,dgroup,DG01633,CYP3A/CYP3A4 substrate,Benzhydrocodone
DG01850,dgroup,DG02913,CYP3A4 substrate,Benzhydrocodone
DG01853,dgroup,DG01985,Disease modifying anti-rheumatic drug (DMARD),Peficitinib
DG01853,dgroup,DG02020,JAK inhibitor,Peficitinib
DG01854,dgroup,DG01566,Hedgehog signaling inhibitor,Sonidegib
DG01854,dgroup,DG01633,CYP3A/CYP3A4 substrate,Sonidegib
DG01858,dgroup,DG03059,Noradrenalin and dopamine reuptake inhibitor (NDRI),Centanafadine
DG01859,dgroup,DG01694,Iron preparation,Ferric citrate
DG01860,dgroup,DG01633,CYP3A/CYP3A4 substrate,Temsavir
DG01860,dgroup,DG01665,ABCB1 substrate,Temsavir
DG01860,dgroup,DG01913,ABCG2 substrate,Temsavir
DG01860,dgroup,DG02862,ABCG2 inhibitor,Temsavir
DG01860,dgroup,DG02865,SLCO1B1 inhibitor,Temsavir
DG01860,dgroup,DG02907,SLCO1B3 inhibitor,Temsavir
DG01863,dgroup,DG01918,Tyrosine kinase inhibitor,Spebrutinib
DG01863,dgroup,DG02022,BTK inhibitor,Spebrutinib
DG01864,dgroup,DG02942,PARP inhibitor,Rucaparib
DG01865,dgroup,DG02942,PARP inhibitor,Talazoparib
DG01868,dgroup,DG01762,Antiemetic,Rolapitant
DG01868,dgroup,DG01633,CYP3A/CYP3A4 substrate,Rolapitant
DG01868,dgroup,DG02913,CYP3A4 substrate,Rolapitant
DG01868,dgroup,DG01645,CYP2D6 inhibitor,Rolapitant
DG01869,dgroup,DG01975,Agents for peptic ulcer,Ecabet
DG01869,dgroup,DG02008,Gastric mucosal protectant,Ecabet
DG01870,dgroup,DG01975,Agents for peptic ulcer,Cetraxate
DG01870,dgroup,DG02008,Gastric mucosal protectant,Cetraxate
DG01871,dgroup,DG01975,Agents for peptic ulcer,Irsogladine
DG01871,dgroup,DG02008,Gastric mucosal protectant,Irsogladine
DG01872,dgroup,DG01975,Agents for peptic ulcer,Aluminum silicate
DG01872,dgroup,DG01954,Antacid,Aluminum silicate
DG01872,dgroup,DG01680,Aluminum compounds antacid,Aluminum silicate
DG01873,dgroup,DG01966,Antitubercular,Para-aminosalicylate
DG01874,dgroup,DG01551,Macrolide antibiotic,14-membered ring macrolide antibiotic
DG01875,dgroup,DG01551,Macrolide antibiotic,15-Membered ring macrolide antibiotic
DG01876,dgroup,DG01551,Macrolide antibiotic,16-Membered ring macrolide antibiotic
DG01877,dgroup,DG01975,Agents for peptic ulcer,Benexate
DG01877,dgroup,DG02008,Gastric mucosal protectant,Benexate
DG01882,root,Antidiabetic agent,Antidiabetic agent,Aldose reductase inhibitor
DG01883,root,Antifungal,Antifungal,Imidazole antifungal
DG01884,root,Antiparasitic,Antiparasitic,Imidazole antiprotozoal
DG01885,root,Cardiovascular agent,Cardiovascular agent,Potassium-sparing diuretic
DG01886,dgroup,DG03198,Anti-HCV agent,Dasabuvir
DG01886,dgroup,DG02000,HCV NS5B polymerase inhibitor,Dasabuvir
DG01889,root,Antiviral,Antiviral,Non-nucleoside reverse transcriptase inhibitor (NNRTI)
DG01890,root,Antiviral,Antiviral,Nucleoside reverse transcriptase inhibitor (NRTI)
DG01891,root,Metabolizing enzyme substrate,Metabolizing enzyme substrate,CYP1A1 substrate
DG01892,root,Metabolizing enzyme substrate,Metabolizing enzyme substrate,CYP1A2 substrate
DG01893,root,Transporter inducer,Transporter inducer,ABCB1 inducer
DG01896,dgroup,DG01950,Antithrombotic agent,Nafamostat
DG01896,dgroup,DG02016,Hemostatics,Nafamostat
DG01896,dgroup,DG02012,Antifibrinolytic,Nafamostat
DG01896,dgroup,DG01990,Serine protease inhibitor,Nafamostat
DG01898,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),"Anti-inflammatory drug, phenylacetic acid derivatives"
DG01898,dgroup,DG01906,"Anti-inflammatory drug, acetic acid derivatives","Anti-inflammatory drug, phenylacetic acid derivatives"
DG01899,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),"Anti-inflammatory drug, indoleacetic acid derivatives"
DG01899,dgroup,DG01906,"Anti-inflammatory drug, acetic acid derivatives","Anti-inflammatory drug, indoleacetic acid derivatives"
DG01901,dgroup,DG03199,Antiepileptic agent,Perampanel
DG01901,dgroup,DG01569,AMPA receptor antagonist,Perampanel
DG01901,dgroup,DG01633,CYP3A/CYP3A4 substrate,Perampanel
DG01903,dgroup,DG01551,Macrolide antibiotic,Midecamycin
DG01903,dgroup,DG01876,16-Membered ring macrolide antibiotic,Midecamycin
DG01903,dgroup,DG02852,CYP3A/CYP3A4 inhibitor,Midecamycin
DG01903,dgroup,DG01522,CYP3A4 inhibitor,Midecamycin
DG01904,dgroup,DG03199,Antiepileptic agent,Barbiturate antiepileptic
DG01905,dgroup,DG03200,Antipsychotic agent,Phenothiazine antipsychotics
DG01906,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),"Anti-inflammatory drug, acetic acid derivatives"
DG01907,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),"Anti-inflammatory drug, coxibs"
DG01907,dgroup,DG01922,Selective COX2 inhibitor,"Anti-inflammatory drug, coxibs"
DG01908,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),"Anti-inflammatory drug, propionic acid derivatives"
DG01909,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),"Anti-inflammatory drug, salicylic acid derivatives"
DG01910,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),"Anti-inflammatory drug, oxicams"
DG01911,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),"Anti-inflammatory drug, fenamic acid derivatives"
DG01912,dgroup,DG01985,Disease modifying anti-rheumatic drug (DMARD),Gold preparations
DG01913,root,Transporter substrate,Transporter substrate,ABCG2 substrate
DG01914,root,Neuropsychiatric agent,Neuropsychiatric agent,"Anxiolytics, benzodiazepine derivatives"
DG01915,root,Metabolizing enzyme inhibitor,Metabolizing enzyme inhibitor,CYP3A5 inhibitor
DG01916,dgroup,DG01918,Tyrosine kinase inhibitor,Amuvatinib
DG01917,dgroup,DG01918,Tyrosine kinase inhibitor,Receptor tyrosine kinase inhibitor
DG01918,root,Antineoplastic,Antineoplastic,Tyrosine kinase inhibitor
DG01920,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),Thiosalicylic acid
DG01920,dgroup,DG01909,"Anti-inflammatory drug, salicylic acid derivatives",Thiosalicylic acid
DG01922,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),Selective COX2 inhibitor
DG01923,dgroup,DG01925,Renin-angiotensin system inhibitor,Renin inhibitor
DG01923,dgroup,DG03231,Antihypertensive,Renin inhibitor
DG01924,dgroup,DG01622,ABCB1 inhibitor,Elobixibat
DG01925,root,Cardiovascular agent,Cardiovascular agent,Renin-angiotensin system inhibitor
DG01926,dgroup,DG03139,PI3K inhibitor,Copanlisib
DG01926,dgroup,DG01891,CYP1A1 substrate,Copanlisib
DG01926,dgroup,DG01633,CYP3A/CYP3A4 substrate,Copanlisib
DG01928,dgroup,DG03231,Antihypertensive,Dihydropyridine calcium channel blocker
DG01930,dgroup,DG02018,Antimetabolite,Dihydrofolate reductase inhibitor
