source_type,source_id,target_type,target_id,field
dgroup,DG00097,drug,D11572,MEMBER
dgroup,DG00097,dgroup,DG01955,CLASS
dgroup,DG00097,dgroup,DG02068,CLASS
dgroup,DG00098,drug,D07753,MEMBER
dgroup,DG00098,drug,D00526,MEMBER
dgroup,DG00098,drug,D02589,MEMBER
dgroup,DG00098,drug,D09790,MEMBER
dgroup,DG00098,dgroup,DG01805,CLASS
dgroup,DG00099,drug,D08295,MEMBER
dgroup,DG00099,drug,D00727,MEMBER
dgroup,DG00099,dgroup,DG01504,CLASS
dgroup,DG00099,dgroup,DG01909,CLASS
dgroup,DG00100,drug,D07488,MEMBER
dgroup,DG00100,drug,D02715,MEMBER
dgroup,DG00100,dgroup,DG01504,CLASS
dgroup,DG00100,dgroup,DG01909,CLASS
dgroup,DG00101,drug,D04345,MEMBER
dgroup,DG00101,drug,D04352,MEMBER
dgroup,DG00102,drug,D05458,MEMBER
dgroup,DG00102,drug,D05459,MEMBER
dgroup,DG00102,dgroup,DG01705,CLASS
dgroup,DG00102,dgroup,DG01704,CLASS
dgroup,DG00103,drug,D07945,MEMBER
dgroup,DG00103,drug,D04148,MEMBER
dgroup,DG00103,dgroup,DG01705,CLASS
dgroup,DG00103,dgroup,DG01704,CLASS
dgroup,DG00103,dgroup,DG01892,CLASS
dgroup,DG00103,dgroup,DG02919,CLASS
dgroup,DG00103,dgroup,DG01642,CLASS
dgroup,DG00103,dgroup,DG01639,CLASS
dgroup,DG00103,dgroup,DG01644,CLASS
dgroup,DG00103,dgroup,DG01633,CLASS
dgroup,DG00103,dgroup,DG02913,CLASS
dgroup,DG00103,dgroup,DG02925,CLASS
dgroup,DG00104,drug,D07444,MEMBER
dgroup,DG00104,drug,D03801,MEMBER
dgroup,DG00104,dgroup,DG01705,CLASS
dgroup,DG00104,dgroup,DG01704,CLASS
dgroup,DG00105,drug,D07805,MEMBER
dgroup,DG00105,drug,D03713,MEMBER
dgroup,DG00105,dgroup,DG01705,CLASS
dgroup,DG00105,dgroup,DG01704,CLASS
dgroup,DG00105,dgroup,DG01644,CLASS
dgroup,DG00106,drug,D07627,MEMBER
dgroup,DG00106,drug,D07628,MEMBER
dgroup,DG00106,dgroup,DG01705,CLASS
dgroup,DG00106,dgroup,DG01704,CLASS
dgroup,DG00107,drug,D07891,MEMBER
dgroup,DG00107,drug,D04893,MEMBER
dgroup,DG00107,dgroup,DG01705,CLASS
dgroup,DG00107,dgroup,DG01704,CLASS
dgroup,DG00108,drug,D08513,MEMBER
dgroup,DG00108,drug,D02571,MEMBER
dgroup,DG00108,dgroup,DG01705,CLASS
dgroup,DG00108,dgroup,DG01704,CLASS
dgroup,DG00109,drug,D03329,MEMBER
dgroup,DG00109,drug,D08705,MEMBER
dgroup,DG00110,drug,D02057,MEMBER
dgroup,DG00110,drug,D04390,MEMBER
dgroup,DG00111,drug,D00037,MEMBER
dgroup,DG00111,drug,D01222,MEMBER
dgroup,DG00112,drug,D08351,MEMBER
dgroup,DG00112,drug,D08352,MEMBER
dgroup,DG00112,dgroup,DG01685,CLASS
dgroup,DG00112,dgroup,DG01684,CLASS
dgroup,DG00112,dgroup,DG02044,CLASS
dgroup,DG00112,dgroup,DG01644,CLASS
dgroup,DG00113,drug,D04966,MEMBER
dgroup,DG00113,drug,D00944,MEMBER
dgroup,DG00113,dgroup,DG01685,CLASS
dgroup,DG00113,dgroup,DG01684,CLASS
dgroup,DG00113,dgroup,DG02044,CLASS
dgroup,DG00114,drug,D00595,MEMBER
dgroup,DG00114,drug,D02206,MEMBER
dgroup,DG00114,dgroup,DG01685,CLASS
dgroup,DG00114,dgroup,DG01684,CLASS
dgroup,DG00114,dgroup,DG02044,CLASS
dgroup,DG00115,drug,D00380,MEMBER
dgroup,DG00115,drug,D06177,MEMBER
dgroup,DG00115,dgroup,DG01508,CLASS
dgroup,DG00115,dgroup,DG01734,CLASS
dgroup,DG00115,dgroup,DG02044,CLASS
dgroup,DG00116,drug,D08491,MEMBER
dgroup,DG00116,drug,D00596,MEMBER
dgroup,DG00116,dgroup,DG01685,CLASS
dgroup,DG00116,dgroup,DG01795,CLASS
dgroup,DG00116,dgroup,DG01683,CLASS
dgroup,DG00116,dgroup,DG02044,CLASS
dgroup,DG00117,drug,D08378,MEMBER
dgroup,DG00117,drug,D00945,MEMBER
dgroup,DG00117,dgroup,DG01685,CLASS
dgroup,DG00117,dgroup,DG01795,CLASS
dgroup,DG00117,dgroup,DG01683,CLASS
dgroup,DG00117,dgroup,DG02044,CLASS
dgroup,DG00117,dgroup,DG02918,CLASS
dgroup,DG00118,drug,D08516,MEMBER
dgroup,DG00118,drug,D06645,MEMBER
dgroup,DG00118,drug,D12294,MEMBER
dgroup,DG00118,dgroup,DG02044,CLASS
dgroup,DG00118,dgroup,DG01601,CLASS
dgroup,DG00119,drug,D08996,MEMBER
dgroup,DG00119,drug,D09753,MEMBER
dgroup,DG00119,drug,D10262,MEMBER
dgroup,DG00119,dgroup,DG02044,CLASS
dgroup,DG00119,dgroup,DG01601,CLASS
dgroup,DG00119,dgroup,DG01633,CLASS
dgroup,DG00119,dgroup,DG02913,CLASS
dgroup,DG00119,dgroup,DG02925,CLASS
dgroup,DG00120,drug,D05594,MEMBER
dgroup,DG00120,drug,D05595,MEMBER
dgroup,DG00120,dgroup,DG02044,CLASS
dgroup,DG00121,drug,D07192,MEMBER
