entry_id,name,formula,mol_weight,atc_codes,dgroup_id,compound_id,therapeutic_category,efficacy,cas,pubchem,chebi
D02454,Hexylcaine hydrochloride; Cyclaine (TN),C16H23NO2. HCl,297.8203,,,,,Anesthetic (local),532-76-3,7849511,
D02455,Piperocaine hydrochloride; Methycaine hydrochloride (TN),C16H23NO2. HCl,297.8203,,,,,Anesthetic (local),533-28-8,7849512,
D02456,Aminobenzoic acid (USP); p-Aminobenzoic acid; RVPaba lipstick (TN),C7H7NO2,137.136,D02BA01,DG00379,C00568,,Ultraviolet screen,150-13-0,7849513,30753
D02457,Acetrizoic acid,C9H6I3NO3,556.8623,V08AA07,,C14164,,Diagnostic aid (contrast medium),85-36-9,7849514,34521
D02458,Methylparaben sodium (NF),C8H7O3. Na,174.1291,,DG02872,,,Pharmaceutic aid (antimicrobial preservative),5026-62-0,7849515,
D02459,Propylparaben sodium (NF),C10H11O3. Na,202.1823,,DG02873,,,Pharmaceutic aid (antimicrobial preservative),35285-69-9,7849516,
D02460,Clopamide (USAN/INN); Aquex (TN),C14H20ClN3O3S,345.8449,C03BA03,,,,"Antihypertensive, Diuretic",636-54-4,17396657,
D02461,Penicillin G procaine (USP); Duracillin (TN),C16H18N2O4S. C13H20N2O2. H2O,588.7155,J01CE01 S01AA14,DG00534,,,"Antibacterial, Cell wall biosynthesis inhibitor",6130-64-9,7849517,
D02462,Glybuthiazol (INN); Glybuthiazole,C12H16N4O2S2,312.411,,,,,Antidiabetic,535-65-9,7849518,
D02463,Balofloxacin hydrate (JAN),C20H24FN3O4. 2H2O,425.4512,,,,,"Antibacterial, Nucleic acid biosynthesis inhibitor",,7849519,
D02464,Ferric citrate (59 Fe),C6H5O7. Fe,244.9447,V09XX04,,,,"Diagnostic aid (anemia, iron metabolism)",54063-42-2,7849520,31605
D02465,Micafungin sodium (JAN/USAN); Funguard (TN); Mycamine (TN),C56H70N9O23S. Na,1292.2563,J02AX05,DG00637,C15819,6179,"Antifungal, Cell wall biosynthesis inhibitor",208538-73-2,7849521,80105
D02466,Amodiaquine hydrochloride (USP); Camoquin hydrochloride (TN),C20H22ClN3O. 2HCl. 2H2O,464.8136,P01BA06,DG01017,,,Antimalarial,6398-98-7,7849522,50652
D02467,Droxacin sodium (USAN),C14H12NNaO4,281.2391,,,,,Antibacterial,57363-13-0,7849523,
D02468,Tioxacin (INN),C14H12N2O4S,304.3211,,,,,Antibacterial,34976-39-1,7849524,177716
D02469,Temafloxacin hydrochloride (JAN/USAN); Omniflox (TN),C21H18F3N3O3. HCl,453.8421,J01MA05,,,,"Antibacterial, Nucleic acid biosynthesis inhibitor",105784-61-0,7849525,
D02470,Alatrofloxacin mesylate (USAN); Trovan preservative free (TN),C26H25F3N6O5. CH4SO3,654.6148,,DG01214,,,"Antibacterial, Nucleic acid biosynthesis inhibitor",157605-25-9,7849526,
D02471,Gemifloxacin mesylate (USAN); Factive (TN),C18H20FN5O4. CH4SO3,485.4866,J01MA15,DG00627,,,"Antibacterial, Nucleic acid biosynthesis inhibitor",210353-53-0,7849527,53749
