variant_id,gene_symbol,gene_description,ko_id
2778v1,GNAS,GNAS complex locus,K04632
2778v2,GNAS,GNAS complex locus,K04632
2796v1,GNRH1,gonadotropin releasing hormone 1,K05252
2798v1,GNRHR,gonadotropin releasing hormone receptor,K04280
2799v1,GNS,glucosamine (N-acetyl)-6-sulfatase,K01137
282617v1,IFNL3,interferon lambda 3,K22669
284098v1,PIGW,phosphatidylinositol glycan anchor biosynthesis class W,K05283
2876v1,GPX1,glutathione peroxidase 1,K00432
2879v1,GPX4,glutathione peroxidase 4,K05361
29089v1,UBE2T,ubiquitin conjugating enzyme E2 T,K13960
2908v1,NR3C1,nuclear receptor subfamily 3 group C member 1,K05771
29110v1,TBK1,TANK binding kinase 1,K05410
2911v1,GRM1,glutamate metabotropic receptor 1,K04603
2936v1,GSR,glutathione-disulfide reductase,K00383
2937v1,GSS,glutathione synthetase,K21456
2956v1,MSH6,mutS homolog 6,K08737
2990v1,GUSB,glucuronidase beta,K01195
29929v1,ALG6,"ALG6 alpha-1,3-glucosyltransferase",K03848
2992v1,GYG1,glycogenin 1,K00750
29940v1,DSE,dermatan sulfate epimerase,K01794
29954v1,POMT2,protein O-mannosyltransferase 2,K00728
29968v1,PSAT1,phosphoserine aminotransferase 1,K00831
29978v1,UBQLN2,ubiquilin 2,K04523
2997v1,GYS1,glycogen synthase 1,K00693
2998v1,GYS2,glycogen synthase 2,K00693
30061v1,SLC40A1,solute carrier family 40 member 1,K14685
3028v1,HSD17B10,hydroxysteroid 17-beta dehydrogenase 10,K08683
3030v1,HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,K07515
3032v1,HADHB,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta,K07509
3033v1,HADH,hydroxyacyl-CoA dehydrogenase,K00022
3053v1,SERPIND1,serpin family D member 1,K03912
3064v1,HTT,huntingtin,K04533
3075v1,CFH,complement factor H,K04004
3077v1,HFE,homeostatic iron regulator,
3078v1,CFHR1,complement factor H related 1,K23815
3081v1,HGD,"homogentisate 1,2-dioxygenase",K00451
3082v1,HGF,hepatocyte growth factor,K05460
3145v1,HMBS,hydroxymethylbilane synthase,K01749
3155v1,HMGCL,3-hydroxy-3-methylglutaryl-CoA lyase,K01640
3195v1,TLX1,T cell leukemia homeobox 1,K09340
3242v1,HPD,4-hydroxyphenylpyruvate dioxygenase,K00457
324v1,APC,APC regulator of WNT signaling pathway,K02085
3251v1,HPRT1,hypoxanthine phosphoribosyltransferase 1,K00760
3265v1,HRAS,"HRas proto-oncogene, GTPase",K02833
3265v2,HRAS,"HRas proto-oncogene, GTPase",K02833
3265v3,HRAS,"HRas proto-oncogene, GTPase",K02833
3284v1,HSD3B2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",K00070
3290v1,HSD11B1,hydroxysteroid 11-beta dehydrogenase 1,K15680
3291v1,HSD11B2,hydroxysteroid 11-beta dehydrogenase 2,K00071
3293v1,HSD17B3,hydroxysteroid 17-beta dehydrogenase 3,K10207
3295v1,HSD17B4,hydroxysteroid 17-beta dehydrogenase 4,K12405
331v1,XIAP,X-linked inhibitor of apoptosis,K04725
3340v1,NDST1,N-deacetylase and N-sulfotransferase 1,K02576
3373v1,HYAL1,hyaluronidase 1,K01197
338v1,APOB,apolipoprotein B,K14462
340061v1,STING1,stimulator of interferon response cGAMP interactor 1,K12654
340419v1,RSPO2,R-spondin 2,K23097
3417v1,IDH1,isocitrate dehydrogenase (NADP(+)) 1,K00031
3418v1,IDH2,isocitrate dehydrogenase (NADP(+)) 2,K00031
3418v2,IDH2,isocitrate dehydrogenase (NADP(+)) 2,K00031
3423v1,IDS,iduronate 2-sulfatase,K01136
3425v1,IDUA,alpha-L-iduronidase,K01217
3426v1,CFI,complement factor I,K01333
343637v1,RSPO4,R-spondin 4,K23099
3455v1,IFNAR2,interferon alpha and beta receptor subunit 2,K05131
345611v1,IRGM,immunity related GTPase M,K14139
345643v1,MCIDAS,multiciliate differentiation and DNA synthesis associated cell cycle protein,K26119
3459v1,IFNGR1,interferon gamma receptor 1,K05132
3460v1,IFNGR2,interferon gamma receptor 2,K05133
347688v1,TUBB8,tubulin beta 8 class VIII,K07375
347733v1,TUBB2B,tubulin beta 2B class IIb,K07375
3479v1,IGF1,insulin like growth factor 1,K05459
3480v1,IGF1R,insulin like growth factor 1 receptor,K05087
3480v2,IGF1R,insulin like growth factor 1 receptor,K05087
3481v1,IGF2,insulin like growth factor 2,K13769
34v1,ACADM,acyl-CoA dehydrogenase medium chain,K00249
3516v1,RBPJ,recombination signal binding protein for immunoglobulin kappa J region,K06053
351v1,APP,amyloid beta precursor protein,K04520
353v1,APRT,adenine phosphoribosyltransferase,K00759
3549v1,IHH,Indian hedgehog signaling molecule,K11989
355v1,FAS,Fas cell surface death receptor,K04390
3560v1,IL2RB,interleukin 2 receptor subunit beta,K05069
3561v1,IL2RG,interleukin 2 receptor subunit gamma,K05070
356v1,FASLG,Fas ligand,K04389
3570v1,IL6R,interleukin 6 receptor,K05055
3572v1,IL6ST,interleukin 6 cytokine family signal transducer,K05060
3575v1,IL7R,interleukin 7 receptor,K05072
3587v1,IL10RA,interleukin 10 receptor subunit alpha,K05134
3588v1,IL10RB,interleukin 10 receptor subunit beta,K05135
3593v1,IL12B,interleukin 12B,K05425
3594v1,IL12RB1,interleukin 12 receptor subunit beta 1,K05063
35v1,ACADS,acyl-CoA dehydrogenase short chain,K00248
3661v1,IRF3,interferon regulatory factor 3,K05411
3663v1,IRF5,interferon regulatory factor 5,K09446
3665v1,IRF7,interferon regulatory factor 7,K09447
367v1,AR,androgen receptor,K08557
367v2,AR,androgen receptor,K08557
36v1,ACADSB,acyl-CoA dehydrogenase short/branched chain,K09478
3703v1,STT3A,STT3 oligosaccharyltransferase complex catalytic subunit A,K07151
3708v1,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",K04958
3708v2,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",K04958
3712v1,IVD,isovaleryl-CoA dehydrogenase,K00253
3716v1,JAK1,Janus kinase 1,K11217
3717v1,JAK2,Janus kinase 2,K04447
